Year,£60k and under,£61k to £250k,£251k to £500k,£501k to £1M,Over £1M
1995,452535,303604,8537,1269,176
1996,518617,397211,12612,1796,300
1997,533224,505557,19528,2910,529
1998,469653,529717,23944,3476,696
1999,460102,671774,38265,5787,1138
2000,380003,677138,47539,8087,1812
2001,342363,811244,64929,10457,2228
2002,275121,943262,100845,15521,2958
2003,171384,920206,117072,16692,2813
2004,94650,953716,156539,22830,3941
2005,46966,832181,146134,23290,3846
2006,33781,1027544,211657,36286,6355
2007,22904,949993,236809,43979,8565
2008,15423,488655,112604,22466,5037
2009,18378,471084,103907,21414,4636
2010,18546,465907,134923,31331,7195
2011,21655,469197,127030,30473,7266
2012,20128,461888,133607,31319,7457
2013,23807,546363,170146,41957,10677
2014,18613,462316,160965,42313,10684
